CustomerID,Age,Subscription,Churned
1,56,Standard,0
2,69,Standard,0
3,46,Standard,0
4,32,Basic,0
5,60,Standard,0
6,25,Standard,0
7,38,Premium,1
8,56,Premium,0
9,75,Premium,0
10,36,Premium,1
11,40,Standard,0
12,28,Basic,0
13,28,Basic,0
14,41,Premium,0
15,70,Basic,0
16,53,Standard,1
17,57,Premium,0
18,41,Premium,0
19,20,Basic,1
20,39,Standard,1
21,70,Premium,0
22,19,Premium,0
23,41,Basic,0
24,61,Basic,1
25,47,Basic,1
26,55,Standard,0
27,19,Basic,0
28,38,Basic,0
29,50,Basic,1
30,29,Basic,0
31,75,Basic,0
32,39,Basic,1
33,61,Standard,0
34,42,Standard,0
35,66,Premium,0
36,44,Standard,0
37,59,Standard,0
38,45,Basic,0
39,33,Premium,0
40,32,Premium,1
41,64,Premium,0
42,68,Basic,0
43,61,Standard,0
44,72,Premium,1
45,69,Premium,1
46,74,Basic,0
47,20,Standard,0
48,54,Premium,0
49,68,Standard,0
50,24,Standard,0
51,38,Basic,1
52,26,Basic,1
53,56,Premium,0
54,35,Premium,1
55,21,Standard,1
56,42,Premium,0
57,31,Standard,0
58,67,Premium,1
59,75,Standard,0
60,26,Standard,1
61,43,Premium,1
62,70,Premium,0
63,19,Standard,1
64,37,Standard,1
65,45,Standard,0
66,64,Basic,0
67,24,Standard,0
68,61,Premium,0
69,25,Basic,0
70,64,Premium,0
71,52,Basic,0
72,31,Standard,0
73,34,Standard,1
74,53,Standard,1
75,67,Basic,1
76,57,Standard,0
77,21,Premium,1
78,19,Basic,1
79,23,Standard,0
80,71,Basic,0
81,59,Premium,0
82,21,Premium,1
83,71,Premium,0
84,46,Standard,0
85,35,Standard,0
86,43,Standard,0
87,61,Basic,0
88,51,Basic,0
89,27,Premium,0
90,53,Premium,1
91,31,Premium,0
92,48,Basic,0
93,65,Basic,0
94,32,Premium,0
95,25,Standard,0
96,31,Basic,0
97,40,Premium,1
98,74,Standard,1
99,57,Premium,1
100,38,Basic,0
101,33,Premium,0
102,62,Basic,1
103,35,Premium,0
104,64,Premium,0
105,70,Basic,0
106,41,Basic,0
107,43,Premium,0
108,42,Standard,1
109,62,Basic,0
110,58,Premium,0
111,46,Standard,1
112,32,Premium,1
113,62,Premium,0
114,18,Premium,0
115,42,Basic,1
116,24,Standard,1
117,26,Premium,0
118,41,Basic,1
119,18,Basic,0
120,61,Premium,0
121,25,Basic,0
122,41,Basic,0
123,28,Standard,1
124,68,Basic,0
125,34,Premium,0
126,25,Premium,0
127,52,Standard,0
128,52,Basic,0
129,50,Basic,0
130,22,Premium,0
131,59,Standard,1
132,56,Standard,0
133,75,Premium,0
134,58,Basic,1
135,45,Basic,0
136,24,Basic,0
137,26,Standard,1
138,25,Standard,0
139,29,Basic,0
140,51,Basic,0
141,50,Basic,0
142,65,Standard,1
143,72,Standard,0
144,40,Basic,1
145,41,Premium,1
146,54,Standard,0
147,52,Premium,0
148,61,Premium,0
149,57,Standard,0
150,39,Standard,0
151,44,Basic,1
152,52,Premium,1
153,18,Standard,0
